Time: 47.74634599685669 2.7169690132141113, BS
100_20_01 , 1841536
100_20_02 , 1881314
100_20_03 , 1728010
100_20_04 , 1976350
100_20_05 , 1589605
100_20_06 , 1722510
100_20_07 , 1834416
100_20_08 , 1835417
100_20_09 , 1921537
100_20_10 , 1741508
100_20_11 , 1887140
100_20_12 , 1752623
100_20_13 , 1759269
100_20_14 , 1747524
100_20_15 , 1485576
100_20_16 , 1906218
100_20_17 , 1850517
100_20_18 , 1858618
100_20_19 , 1742974
100_20_20 , 1862652
100_20_21 , 1772805
100_20_22 , 1788702
100_20_23 , 1854463
100_20_24 , 1749018
100_20_25 , 1774763
100_20_26 , 1647364
100_20_27 , 1913941
100_20_28 , 1813475
100_20_29 , 2061624
100_20_30 , 1846555
50_20_01 , 609300
50_20_02 , 637648
50_20_03 , 603155
50_20_04 , 677937
50_20_05 , 672480
50_20_06 , 661364
50_20_07 , 580962
50_20_08 , 552749
50_20_09 , 584054
50_20_10 , 610998
50_20_11 , 620607
50_20_12 , 595585
50_20_13 , 557867
50_20_14 , 592576
50_20_15 , 611728
50_20_16 , 564828
50_20_17 , 672246
50_20_18 , 649489
50_20_19 , 468195
50_20_20 , 574605
50_20_21 , 632139
50_20_22 , 667720
50_20_23 , 622274
50_20_24 , 563838
50_20_25 , 598510
50_20_26 , 622181
50_20_27 , 579604
50_20_28 , 566239
50_20_29 , 557971
50_20_30 , 518891
